Date,Open,High,Low,Close
23-Feb-21,49994.85,50327.31,49659.85,49751.41
22-Feb-21,50910.51,50986.03,49617.37,49744.32
19-Feb-21,51238.02,51432.99,50624.33,50889.76
18-Feb-21,51903.96,51903.96,51186.68,51324.69
17-Feb-21,51996.94,52078.15,51586.34,51703.83
16-Feb-21,52400.03,52516.76,51863.61,52104.17
15-Feb-21,51907.75,52235.97,51886.46,52154.13
12-Feb-21,51614.77,51804.58,51260.62,51544.3
11-Feb-21,51165.84,51592.45,51157.31,51531.52
10-Feb-21,51355.89,51512.86,50846.22,51309.39
09-Feb-21,51484.23,51835.86,51193.93,51329.08
08-Feb-21,51146.67,51523.38,51146.67,51348.77
05-Feb-21,51031.39,51073.27,50565.29,50731.63
04-Feb-21,50212.25,50687.51,49926.45,50614.29
03-Feb-21,50231.06,50526.39,49515.88,50255.75
02-Feb-21,49193.26,50154.48,49193.26,49797.72
01-Feb-21,46617.95,48764.4,46433.65,48600.61
29-Jan-21,47423.47,47423.66,46160.46,46285.77
28-Jan-21,46834.57,47172.02,46518.48,46874.36
27-Jan-21,48385.28,48387.25,47269.6,47409.93
25-Jan-21,49253.68,49263.15,48274.92,48347.59
22-Jan-21,49594.95,49676.88,48832.08,48878.54
21-Jan-21,50096.57,50184.01,49398.86,49624.76
20-Jan-21,49508.79,49874.42,49373.68,49792.12
19-Jan-21,48900.31,49499.86,48805.54,49398.29
18-Jan-21,49061.22,49122.23,48403.97,48564.27
15-Jan-21,49656.71,49656.71,48795.79,49034.67
14-Jan-21,49432.83,49663.58,49182.37,49584.16
13-Jan-21,49763.93,49795.19,49073.85,49492.32
12-Jan-21,49228.26,49569.14,49079.57,49517.11
11-Jan-21,49252.31,49303.79,48956.38,49269.32
08-Jan-21,48464.91,48854.34,48365.58,48782.51
07-Jan-21,48524.36,48558.34,48037.87,48093.32
06-Jan-21,48616.66,48616.66,47864.14,48174.06
05-Jan-21,48037.63,48486.24,47903.38,48437.78
04-Jan-21,48109.17,48220.47,47594.47,48176.8
01-Jan-21,47785.28,47980.36,47771.15,47868.98
31-Dec-20,47753.11,47896.97,47602.12,47751.33
30-Dec-20,47789.03,47807.85,47358.36,47746.22
29-Dec-20,47466.62,47714.55,47361.9,47613.08
28-Dec-20,47153.59,47406.72,47148.24,47353.75
24-Dec-20,46743.49,47053.4,46539.02,46973.54
23-Dec-20,46072.3,46513.32,45899.1,46444.18
22-Dec-20,45529.61,46080.18,45112.19,46006.69
21-Dec-20,46932.18,47055.69,44923.08,45553.96
18-Dec-20,47026.02,47026.02,46630.31,46960.69
17-Dec-20,46774.32,46992.57,46627.6,46890.34
16-Dec-20,46573.31,46704.97,46402.2,46666.46
15-Dec-20,46287.39,46350.3,45841.67,46263.17
14-Dec-20,46284.7,46373.34,45951.53,46253.46
11-Dec-20,46060.32,46309.63,45706.22,46099.01
10-Dec-20,45999.42,46043.97,45685.87,45959.88
09-Dec-20,45891.04,46164.1,45792.01,46103.5
08-Dec-20,45568.8,45742.23,45335.17,45608.51
07-Dec-20,45099.92,45458.92,45024.47,45426.97
04-Dec-20,44665.91,45148.28,44665.91,45079.55
03-Dec-20,44902.02,44953.01,44551.42,44632.65
02-Dec-20,44729.52,44729.64,44169.97,44618.04
01-Dec-20,44435.83,44730.79,44118.1,44655.44
27-Nov-20,44325.03,44407.28,43995.41,44149.72
26-Nov-20,43967.59,44361.78,43582.4,44259.74
25-Nov-20,44749.73,44825.37,43757.97,43828.1
24-Nov-20,44341.19,44601.63,44247.12,44523.02
23-Nov-20,44164.17,44271.15,43747.22,44077.15
20-Nov-20,43732.14,44013.02,43453.75,43882.25
19-Nov-20,43902.24,44230,43518.11,43599.96
18-Nov-20,43978.58,44215.49,43785.78,44180.05
17-Nov-20,44095.85,44161.16,43699.22,43952.71
14-Nov-20,43815.45,43830.93,43535.77,43637.98
13-Nov-20,43298.92,43522.25,43053.37,43443
12-Nov-20,43291.89,43543.96,43127.55,43357.19
11-Nov-20,43444.06,43708.47,42970.21,43593.67
10-Nov-20,42959.25,43316.44,42660.09,43277.65
09-Nov-20,42273.97,42645.33,42263.64,42597.43
06-Nov-20,41438.76,41954.93,41383.29,41893.06
05-Nov-20,41112.12,41370.91,41030.17,41340.16
04-Nov-20,40171.71,40693.51,40076.47,40616.14
03-Nov-20,39990.75,40354.73,39952.79,40261.13
02-Nov-20,39880.38,39968.03,39334.92,39757.58
30-Oct-20,39779.82,39988.25,39241.87,39614.07
29-Oct-20,39537.17,40010.83,39524.25,39749.85
28-Oct-20,40664.35,40664.35,39774.6,39922.46
27-Oct-20,40199.08,40555.6,39978.39,40522.1
26-Oct-20,40649.76,40724.4,39948.29,40145.5
23-Oct-20,40728.39,40811.12,40590.9,40685.5
22-Oct-20,40531.31,40721.57,40309.05,40558.49
21-Oct-20,40767.14,40976.02,40150.48,40707.31
20-Oct-20,40420.29,40732.01,40305.59,40544.37
19-Oct-20,40318.57,40519.48,40211.22,40431.6
16-Oct-20,39936.61,40125.71,39699.42,39982.98
15-Oct-20,41048.05,41048.05,39667.47,39728.41
14-Oct-20,40623.19,40880.25,40279.55,40794.74
13-Oct-20,40592.54,40786.82,40461.97,40625.51
12-Oct-20,40716.95,40905.49,40387.4,40593.8
09-Oct-20,40226.25,40585.36,40066.54,40509.49
08-Oct-20,40204.32,40468.88,40062.23,40182.67
07-Oct-20,39633.19,39968.04,39450.82,39878.95
06-Oct-20,39336.34,39623.76,39191.1,39574.57
05-Oct-20,38956.78,39263.85,38819.89,38973.7
01-Oct-20,38410.2,38738.89,38410.2,38697.05
30-Sep-20,38068.89,38236.34,37828.11,38067.93
29-Sep-20,38176.86,38235.94,37831.35,37973.22
28-Sep-20,37756.25,38035.87,37544.05,37981.63
25-Sep-20,36991.89,37471.17,36730.52,37388.66
24-Sep-20,37282.18,37304.26,36495.98,36553.6
23-Sep-20,38124.94,38140.07,37313.09,37668.42
22-Sep-20,38200.71,38209.97,37531.14,37734.08
21-Sep-20,38812.69,38990.76,37938.53,38034.14
18-Sep-20,39200.42,39200.42,38635.73,38845.82
17-Sep-20,39120.64,39234.81,38926.34,38979.85
16-Sep-20,39161.01,39359.51,39037.96,39302.85
15-Sep-20,38904.67,39102.25,38753.68,39044.35
14-Sep-20,39073.51,39230.16,38573.17,38756.63
11-Sep-20,38865.17,38978.52,38711.8,38854.55
10-Sep-20,38516.88,38878.25,38367.07,38840.32
09-Sep-20,37988.56,38252.67,37935.26,38193.92
08-Sep-20,38498.07,38746.48,38275.45,38365.35
07-Sep-20,38284.78,38519.92,38060.74,38417.23
04-Sep-20,38325,38729.66,38249.77,38357.18
03-Sep-20,39165.8,39236.36,38943.43,38990.94
02-Sep-20,38892.64,39141.84,38736.22,39086.03
01-Sep-20,38754,39226.82,38542.11,38900.8
31-Aug-20,39888.15,40010.17,38395.89,38628.29
28-Aug-20,39264.48,39579.58,39235.03,39467.31
27-Aug-20,39293.53,39326.98,39046.94,39113.47
26-Aug-20,38930.18,39111.55,38765.09,39073.92
25-Aug-20,38948.46,39008.89,38679.67,38843.88
24-Aug-20,38566.96,38894.94,38545.76,38799.08
21-Aug-20,38471.93,38579.83,38411.37,38434.72
20-Aug-20,38283.9,38402.45,38155.78,38220.39
19-Aug-20,38727.89,38788.51,38550.65,38614.79
18-Aug-20,38084.7,38571.23,38062.01,38528.32
17-Aug-20,38062.07,38119.38,37734.14,38050.78
14-Aug-20,38432.94,38540.57,37654.92,37877.34
13-Aug-20,38456.64,38516.85,38215.05,38310.49
12-Aug-20,38321.13,38414.37,38125.81,38369.63
11-Aug-20,38371.34,38556.27,38313.06,38407.01
10-Aug-20,38168.42,38430.69,38073.29,38182.08
07-Aug-20,37951.07,38109.68,37787.38,38040.57
06-Aug-20,37946.8,38221.4,37755.1,38025.45
05-Aug-20,37892.36,38139.96,37550.6,37663.33
04-Aug-20,37092.86,37745.6,36987.73,37687.91
03-Aug-20,37595.73,37596.02,36911.23,36939.6
31-Jul-20,37847.88,37897.78,37431.68,37606.89
30-Jul-20,38262.83,38413.81,37678.42,37736.07
29-Jul-20,38427.15,38617.03,37884.41,38071.13
28-Jul-20,38052.18,38554.72,37998.13,38492.95
27-Jul-20,38275.34,38275.34,37769.44,37934.73
24-Jul-20,37949.59,38235.73,37748.41,38128.9
23-Jul-20,37814.92,38225.03,37738.59,38140.47
22-Jul-20,38178.07,38199.27,37601.62,37871.52
21-Jul-20,37823.61,37990.55,37742.05,37930.33
20-Jul-20,37409.03,37478.87,37185.78,37418.99
17-Jul-20,36547.75,37125.98,36512.92,37020.14
16-Jul-20,36401.2,36524.62,36038.41,36471.68
15-Jul-20,36314.76,36810.25,35894.96,36051.81
14-Jul-20,36517.28,36538.1,35877.42,36033.06
13-Jul-20,36880.66,37024.2,36533.96,36693.69
10-Jul-20,36555.13,36748.89,36401.11,36594.33
09-Jul-20,36450.69,36806.3,36422.3,36737.69
08-Jul-20,36738.38,36828.43,36234.17,36329.01
07-Jul-20,36660.35,36723.27,36271.09,36674.52
06-Jul-20,36313.46,36661.66,36254.02,36487.28
03-Jul-20,36025.38,36110.21,35872.38,36021.42
02-Jul-20,35604,36014.92,35595.36,35843.7
01-Jul-20,35009.59,35467.23,34927.2,35414.45
30-Jun-20,35168.3,35233.91,34812.8,34915.8
29-Jun-20,34926.95,35032.36,34662.06,34961.52
26-Jun-20,35144.78,35254.88,34910.34,35171.27
25-Jun-20,34525.39,35081.61,34499.78,34842.1
24-Jun-20,35679.74,35706.55,34794.93,34868.98
23-Jun-20,35015.73,35482.16,34843.69,35430.43
22-Jun-20,34892.03,35213.52,34794.4,34911.32
19-Jun-20,34335.38,34848.37,34136.39,34731.73
18-Jun-20,33371.52,34276.01,33371.52,34208.05
17-Jun-20,33438.31,33933.66,33332.96,33507.92
16-Jun-20,33853.72,34022.01,32953.3,33605.22
15-Jun-20,33670.55,33670.55,32923.74,33228.8
12-Jun-20,32436.69,33856.27,32348.1,33780.89
11-Jun-20,34214.69,34219.39,33480.42,33538.37
10-Jun-20,34029.14,34350.17,33949.46,34247.05
09-Jun-20,34520.79,34811.29,33881.19,33956.69
08-Jun-20,34841.17,34927.8,34211.83,34370.58
05-Jun-20,34198.55,34405.43,33958.02,34287.24
04-Jun-20,34072.5,34310.14,33711.24,33980.7
03-Jun-20,34185.41,34488.69,34027.5,34109.54
02-Jun-20,33450.19,33866.63,33301.29,33825.53
01-Jun-20,32906.05,33673.83,32876.55,33303.52
29-May-20,32041.29,32480.52,31823.8,32424.1
28-May-20,31827.8,32267.23,31641.77,32200.59
27-May-20,30793.11,31660.6,30525.68,31605.22
26-May-20,30864.27,31086.7,30512.14,30609.3
22-May-20,30822.78,31107.91,30474.88,30672.59
21-May-20,30904.29,31188.79,30765.32,30932.9
20-May-20,30159.59,30878.31,30157.75,30818.61
19-May-20,30450.74,30739.96,30116.82,30196.17
18-May-20,31248.26,31248.26,29968.45,30028.98
15-May-20,31296.28,31296.28,30770.48,31097.73
14-May-20,31466.33,31630.94,31052.65,31122.89
13-May-20,32841.87,32845.48,31901.92,32008.61
12-May-20,31342.93,31536.89,30844.66,31371.12
11-May-20,32030.34,32301.58,31500.87,31561.22
08-May-20,32083.32,32088.51,31598,31642.7
07-May-20,31677.69,31705.25,31362.87,31443.38
06-May-20,31577.63,31970.84,31158.75,31685.75
05-May-20,32182.9,32264,31403.57,31453.51
04-May-20,32748.14,32748.14,31632.02,31715.35
30-Apr-20,33381.19,33887.25,33354.93,33717.62
29-Apr-20,32311.04,32897.59,32171.65,32720.16
28-Apr-20,32101.91,32199.91,31661.34,32114.52
27-Apr-20,31659.04,32103.7,31651.58,31743.08
24-Apr-20,31426.62,31842.24,31278.27,31327.22
23-Apr-20,31646.45,31959.02,31292.92,31863.08
22-Apr-20,30856.14,31471.14,30578.55,31379.55
21-Apr-20,30836.19,30900.12,30378.26,30636.71
20-Apr-20,32056.19,32056.47,31490.26,31648
17-Apr-20,31656.68,31718.73,30960.94,31588.72
16-Apr-20,30095.51,30800.2,30016.17,30602.61
15-Apr-20,31277.11,31568.36,30222.07,30379.81
13-Apr-20,31195.72,31195.72,30474.15,30690.02
09-Apr-20,30571.19,31225.2,30420.22,31159.62
08-Apr-20,29701.92,31227.97,29602.94,29893.96
07-Apr-20,28898.36,30157.65,28602.31,30067.21
03-Apr-20,28623.53,28639.12,27500.79,27590.95
01-Apr-20,29505.33,29505.98,28073.43,28265.31
31-Mar-20,29294.94,29770.88,28667.36,29468.49
30-Mar-20,29226.55,29497.57,28290.99,28440.32
27-Mar-20,30747.81,31126.03,29346.99,29815.59
26-Mar-20,29073.71,30099.91,28566.34,29946.77
25-Mar-20,26499.81,28790.19,26359.91,28535.78
24-Mar-20,27056.23,27462.87,25638.9,26674.03
23-Mar-20,27608.8,27900.83,25880.83,25981.24
20-Mar-20,28460.82,30418.2,27932.67,29915.96
19-Mar-20,27773.36,29370.53,26714.46,28288.23
18-Mar-20,30968.84,31101.77,28613.05,28869.51
17-Mar-20,31611.57,32047.98,30394.94,30579.09
16-Mar-20,33103.24,33103.24,31276.3,31390.07
