Date,Open,High,Low,Close
26-October-2017,,,,492.89,
27-October-2017,,,,492.69,
30-October-2017,,,,492.53,
2-November-2017,,,,490.07,
3-November-2017,,,,491.44,
8-November-2017,,,,489.74,
9-November-2017,,,,490.19,
10-November-2017,,,,489.99,
14-November-2017,,,,487.15,
15-November-2017,,,,487.11,
20-November-2017,,,,490.63,
21-November-2017,,,,491.60,
22-November-2017,,,,491.10,
23-November-2017,,,,489.41,
24-November-2017,,,,488.52,
27-November-2017,,,,488.45,
28-November-2017,,,,488.21,
29-November-2017,,,,489.13,
30-November-2017,,,,488.03,
5-December-2017,,,,488.08,
6-December-2017,,,,487.83,
7-December-2017,,,,489.32,
8-December-2017,,,,488.04,
11-December-2017,,,,488.17,
12-December-2017,,,,484.40,
26-December-2017,,,,482.27,
