Date,Open,High,Low,Close
26-October-2017,,,,1117.25,
27-October-2017,,,,1117.70,
30-October-2017,,,,1117.88,
31-October-2017,,,,1118.06,
1-November-2017,,,,1118.24,
2-November-2017,,,,1118.42,
3-November-2017,,,,1118.95,
6-November-2017,,,,1119.13,
7-November-2017,,,,1119.31,
8-November-2017,,,,1119.50,
9-November-2017,,,,1119.68,
10-November-2017,,,,1120.15,
14-November-2017,,,,1120.51,
15-November-2017,,,,1120.69,
16-November-2017,,,,1120.88,
17-November-2017,,,,1121.42,
20-November-2017,,,,1121.60,
21-November-2017,,,,1121.78,
22-November-2017,,,,1121.97,
23-November-2017,,,,1122.15,
24-November-2017,,,,1122.63,
27-November-2017,,,,1122.81,
28-November-2017,,,,1122.99,
29-November-2017,,,,1123.17,
30-November-2017,,,,1123.89,
4-December-2017,,,,1124.07,
