Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-February-2021,16123.00,16250.00,16003.00,16165.25,16144.505031145184475323,6261,1860,101080746.00,1873,29.92,247.00,42.25
22-February-2021,16400.00,16531.05,16024.60,16099.20,16201.359076345155231466,9051,3526,146638501.00,4625,51.10,506.45,-300.80
19-February-2021,16395.00,16477.60,16214.45,16386.10,16336.320062316081010905,5777,2431,94374921.00,2482,42.96,263.15,-8.90
18-February-2021,17050.00,17050.00,16307.00,16374.15,16484.235504339581358033,13711,3533,226015353.00,9858,71.90,743.00,-675.85
17-February-2021,16900.00,16900.00,16360.00,16739.90,16663.362321870318107383,28701,9264,478255162.00,14296,49.81,540.00,-160.10
16-February-2021,17600.00,17634.60,17141.25,17222.45,17286.161498544488039488,7901,2887,136577962.00,3613,45.73,493.35,-377.55
15-February-2021,17290.00,17500.00,17280.00,17484.50,17418.606123508043591074,1927,693,33565654.00,526,27.30,220.00,194.50
12-February-2021,17449.85,17500.00,17241.00,17286.10,17390.663798049340218014,3486,1273,60623854.00,1326,38.04,259.00,-163.75
11-February-2021,17167.70,17442.00,17165.55,17416.65,17360.118024691358024691,2025,671,35154239.00,688,33.98,276.45,248.95
10-February-2021,17396.90,17439.30,17083.80,17167.70,17232.100269380425022448,3341,1563,57572447.00,1376,41.19,355.50,-229.20
9-February-2021,17340.00,17510.70,17164.05,17325.80,17379.782240235814296241,2714,946,47168729.00,978,36.04,346.65,-14.20
8-February-2021,17199.95,17280.00,17107.35,17213.55,17221.472339230553215388,7122,1725,122651326.00,2108,29.60,172.65,13.60
5-February-2021,17244.00,17244.00,17019.95,17123.30,17080.321614063124250898,2503,947,42752045.00,1226,48.98,224.05,-120.70
4-February-2021,17250.00,17250.00,17054.80,17073.20,17166.105358902448268020,13193,907,226472428.00,12037,91.24,195.20,-176.80
3-February-2021,17247.45,17284.00,17064.35,17155.40,17179.343612334801762114,2270,930,38997110.00,528,23.26,219.65,-92.05
2-February-2021,17211.00,17328.10,16800.00,17189.35,17202.154465212876427829,3852,1545,66262699.00,1260,32.71,528.10,-21.65
1-February-2021,17162.10,17277.00,16996.45,17096.95,17113.036289050173556326,3169,1436,54231212.00,1303,41.12,280.55,-65.15
29-January-2021,17500.00,17500.00,16961.20,17068.70,17267.158640226628895184,2118,893,36571842.00,863,40.75,538.80,-431.30
28-January-2021,17401.00,17519.95,17205.75,17375.40,17472.729867083659108678,12790,1611,223476215.00,10833,84.70,314.20,-25.60
27-January-2021,17560.00,17590.00,17344.70,17547.65,17482.975875118259224219,2114,1217,36959011.00,900,42.57,245.30,-12.35
25-January-2021,17799.00,17799.00,17236.75,17443.60,17363.202422611036339165,3715,1294,64504297.00,1181,31.79,562.25,-355.40
22-January-2021,17999.00,17999.00,17300.00,17580.15,17696.775901765157329240,2606,899,46117798.00,1102,42.29,699.00,-418.85
21-January-2021,17769.00,17899.85,17660.00,17714.50,17762.055075102412380518,2197,885,39023235.00,717,32.64,239.85,-54.50
20-January-2021,17815.00,17938.35,17630.45,17677.75,17751.928246753246753246,3080,1327,54675939.00,1114,36.17,307.90,-137.25
19-January-2021,17650.05,17802.30,17650.05,17755.55,17744.046200607902735562,1645,705,29188956.00,528,32.10,152.25,105.50
18-January-2021,17801.00,18075.00,17567.05,17629.15,17820.280082377169755810,6798,2623,121142264.00,2230,32.80,507.95,-171.85
15-January-2021,18149.00,18238.10,17800.00,17872.25,17979.793690071141354778,3233,1400,58128673.00,1223,37.83,438.10,-276.75
14-January-2021,18000.00,18200.65,18000.00,18128.95,18053.678253249598364247,13694,1230,247227070.00,11394,83.20,200.65,128.95
13-January-2021,18005.00,18268.40,17961.55,18022.75,18105.935372918175235336,5524,2221,100017187.00,1488,26.94,306.85,17.75
12-January-2021,18387.00,18395.00,17957.80,18003.80,18113.168418593786498481,4281,2308,77542474.00,1985,46.37,437.20,-383.20
11-January-2021,18418.00,18538.25,18189.00,18392.90,18350.435336251492240350,2513,792,46114644.00,501,19.94,349.25,-25.10
8-January-2021,18242.00,18339.95,18002.00,18295.45,18164.311659893716786495,3199,1749,58107633.00,1173,36.67,337.95,53.45
7-January-2021,18611.95,18621.05,18073.00,18139.75,18274.035336856010568031,3028,1266,55333779.00,1146,37.85,548.05,-472.20
6-January-2021,18500.00,18606.00,18437.80,18510.60,18505.776517922457937088,2734,1293,50594793.00,1129,41.29,168.20,10.60
5-January-2021,18356.00,18615.95,18284.15,18571.60,18485.031171212468484987,4363,1691,80650191.00,1678,38.46,331.80,215.60
4-January-2021,18450.00,18572.40,18324.50,18388.25,18460.829737019554956169,2966,1308,54754821.00,1048,35.33,247.90,-61.75
1-January-2021,18380.00,18509.90,18304.15,18451.05,18447.337019907500502714,4973,1302,91738607.00,1109,22.30,205.75,71.05
31-December-2020,18050.00,18450.00,18050.00,18392.35,18347.941649196366177498,2862,1212,52511809.00,875,30.57,400.00,342.35
30-December-2020,18457.00,18460.00,18240.00,18398.55,18339.385353095030514385,4588,1718,84141100.00,1790,39.01,220.00,-58.45
29-December-2020,18666.00,18669.90,18171.90,18268.50,18338.857844099744747692,5093,1905,93399803.00,1768,34.71,498.00,-397.50
28-December-2020,18650.00,18785.95,18523.45,18598.25,18623.520909090909090909,3300,1404,61457619.00,935,28.33,262.50,-51.75
24-December-2020,18721.00,18821.45,18383.80,18577.95,18560.633513931888544891,2584,1202,47960677.00,803,31.08,437.65,-143.05
23-December-2020,18505.00,18817.70,18505.00,18723.35,18678.344708077845907757,3751,1207,70062471.00,1889,50.36,312.70,218.35
22-December-2020,18200.00,18667.20,18000.50,18586.10,18322.397401433691756272,4464,1385,81791182.00,1053,23.59,666.70,386.10
21-December-2020,18363.00,18524.90,18078.00,18172.55,18334.389982502187226596,4572,1662,83824831.00,1017,22.24,446.90,-190.45
18-December-2020,18394.00,18600.00,18190.00,18347.25,18461.666582724754469906,3971,1627,73311278.00,799,20.12,410.00,-46.75
17-December-2020,18325.00,18395.80,18156.00,18298.15,18311.159923664122137404,2620,1031,47975239.00,411,15.69,239.80,-26.85
16-December-2020,18480.00,18725.00,18255.15,18321.60,18469.259336315406220742,9613,3179,177544990.00,1662,17.29,469.85,-158.40
