Date,MarketCap,Strategy,Sustainability,Sector & Industry,Thematic,Nestle,Sensex
23-Feb-21,0.000142519,0.012925015,0.003545372,0.002044785,0.010991135,-0.004076287,0.000142519
22-Feb-21,-0.022765438,-0.012141669,-0.018373167,-0.026089013,-0.015127222,-0.006128523,-0.022765438
19-Feb-21,-0.008510198,-0.011143913,-0.011409344,-0.000945937,-0.015661181,-0.001573019,-0.008510198
18-Feb-21,-0.007359937,0.020869165,-0.005835582,0.005024323,0.020936559,-0.012297536,-0.007359937
17-Feb-21,-0.007713124,0.006987899,-0.004056801,-0.008915708,0.013542567,0.005803043,-0.007713124
16-Feb-21,-0.000958389,0.012166063,-0.000238124,-0.009568978,0.015182148,-0.01913295,-0.000958389
15-Feb-21,0.011761741,0.001877139,0.011173301,-0.006193056,0.007536541,-0.025164764,0.011761741
12-Feb-21,0.000247973,-0.011310224,0.001365298,0.004254859,-0.010909541,-0.012771265,0.000247973
11-Feb-21,0.004319883,0.002159742,0.006369192,-4.87161E-05,0.008689784,-0.017123508,0.004319883
10-Feb-21,-0.000383677,0.000580726,-4.04392E-05,0.001024311,-0.002450173,0.004461964,-0.000383677
09-Feb-21,-0.00038353,-0.003080002,-0.001010448,-0.005283199,-0.012254597,0.002949277,-0.00038353
08-Feb-21,0.012091401,0.013449466,0.016085701,0.019602902,0.038527355,0.007161916,0.012091401
05-Feb-21,0.002315634,-0.005087426,0.000205284,-0.007253305,0.000918385,0.008618106,0.002315634
04-Feb-21,0.007108979,0.017489959,0.005558658,-0.00269589,0.012652853,-0.00732103,0.007108979
03-Feb-21,0.009155768,0.012579042,0.009625432,0.009607296,0.02408919,0.00586428,0.009155768
02-Feb-21,0.024333118,0.020842824,0.027857661,0.014362272,0.028496306,-0.003850481,0.024333118
01-Feb-21,0.048801512,0.026886457,0.043857647,0.011839458,0.054141784,-0.004172499,0.048801512
29-Jan-21,-0.01263626,-0.022916302,-0.012860912,-0.025080992,-0.012670049,-0.003671389,-0.01263626
28-Jan-21,-0.01136087,-0.002146266,-0.008146774,-0.019495887,-0.002310897,0.0163792,-0.01136087
27-Jan-21,-0.019584675,-0.013431228,-0.020704314,-0.004396124,-0.009084171,-0.000118044,-0.019584675
25-Jan-21,-0.01092207,-0.007095781,-0.009023518,-0.013186802,-0.008422329,0.015144196,-0.01092207
22-Jan-21,-0.015151457,-0.007850813,-0.014706769,0.000293086,-0.01450553,0.000905857,-0.015151457
21-Jan-21,-0.003366836,-0.015803485,-0.003726738,-0.006096563,-0.016448333,0.000913349,-0.003366836
20-Jan-21,0.00794093,0.001809219,0.009195371,0.017363842,0.006670454,-0.000693421,0.00794093
19-Jan-21,0.017027733,0.015377663,0.015601736,0.007103209,0.023650631,-0.019582651,0.017027733
18-Jan-21,-0.009639524,-0.019965479,-0.010527086,-0.016407552,-0.029758382,-0.006988595,-0.009639524
15-Jan-21,-0.011143829,-0.017029208,-0.010375462,-0.019506468,-0.013872526,0.001467914,-0.011143829
14-Jan-21,0.001853922,0.003810364,0.001259552,-0.000394012,0.001565617,-0.000344439,0.001853922
13-Jan-21,-0.00050076,0.000579809,0.002355416,0.004535116,0.012869929,0.002491731,-0.00050076
