Date,Open,High,Low,Close
26-October-2017,10418.59,10447.24,10378.81,10408.55,
27-October-2017,10418.82,10453.27,10393.32,10417.09,
30-October-2017,10444.98,10469.14,10409.03,10428.94,
31-October-2017,10331.85,10409.32,10323.53,10362.22,
1-November-2017,10377.86,10403.87,10323.75,10356.38,
2-November-2017,10337.72,10420.57,10323.19,10386.97,
3-November-2017,10392.27,10415.51,10367.58,10383.02,
6-November-2017,10370.26,10493.50,10366.11,10474.37,
7-November-2017,10475.72,10749.25,10471.40,10690.22,
8-November-2017,10736.75,10798.82,10693.18,10731.72,
9-November-2017,10787.77,10799.56,10713.45,10756.46,
10-November-2017,10725.21,10755.87,10686.46,10732.63,
13-November-2017,10756.50,10847.50,10731.26,10752.43,
14-November-2017,10748.94,10773.28,10669.52,10690.83,
15-November-2017,10691.76,10719.31,10641.83,10652.06,
16-November-2017,10664.27,10918.18,10612.72,10882.64,
17-November-2017,10915.78,10915.78,10694.40,10732.35,
20-November-2017,10739.68,10746.53,10668.88,10688.04,
21-November-2017,10701.16,10752.32,10677.23,10704.27,
22-November-2017,10697.65,10753.79,10686.30,10704.76,
23-November-2017,10744.26,10869.24,10728.39,10844.38,
24-November-2017,10876.78,10991.29,10832.20,10936.58,
27-November-2017,10888.02,10921.16,10856.64,10911.77,
28-November-2017,10914.68,10925.63,10832.93,10851.54,
29-November-2017,10855.03,10900.45,10807.81,10825.27,
30-November-2017,10850.53,10857.51,10687.05,10730.87,
1-December-2017,10757.42,10806.13,10582.73,10592.78,
4-December-2017,10697.97,10796.87,10587.20,10737.92,
5-December-2017,10719.38,10797.41,10675.97,10697.17,
6-December-2017,10700.24,10756.25,10635.17,10731.89,
7-December-2017,10735.46,10813.71,10708.45,10800.78,
8-December-2017,10815.32,10887.85,10789.93,10809.89,
11-December-2017,10795.76,10936.31,10788.88,10917.64,
12-December-2017,10918.66,10953.90,10861.09,10888.45,
13-December-2017,10869.25,10951.73,10821.55,10860.71,
14-December-2017,10866.21,10906.77,10767.33,10856.60,
15-December-2017,10877.60,10924.55,10853.27,10897.57,
18-December-2017,10838.32,10949.09,10714.80,10905.39,
19-December-2017,10902.66,10934.43,10836.91,10855.76,
20-December-2017,10861.07,10931.99,10818.15,10917.70,
21-December-2017,10923.88,11025.62,10852.36,10991.31,
22-December-2017,10997.63,11166.66,10978.12,11135.60,
26-December-2017,11142.75,11178.03,11101.53,11142.55,
27-December-2017,11115.25,11167.81,11105.98,11131.10,
28-December-2017,11106.24,11190.47,11099.97,11143.54,
29-December-2017,11113.46,11306.51,11112.90,11277.81,
1-January-2018,11261.94,11285.90,11199.45,11216.18,
2-January-2018,11219.13,11285.06,11152.60,11192.03,
3-January-2018,11223.50,11252.60,11142.03,11156.28,
4-January-2018,11213.29,11217.15,11108.22,11157.29,
5-January-2018,11165.30,11268.12,11142.49,11195.73,
8-January-2018,11219.92,11373.08,11219.88,11352.76,
9-January-2018,11371.65,11406.24,11307.36,11389.35,
10-January-2018,11421.40,11620.73,11358.60,11599.11,
11-January-2018,11602.25,11758.08,11601.82,11696.30,
12-January-2018,11785.46,11785.46,11613.67,11699.52,
15-January-2018,11719.15,11821.76,11606.15,11642.81,
16-January-2018,11649.44,12091.46,11644.74,12029.02,
17-January-2018,12014.97,12272.23,12014.68,12183.28,
18-January-2018,12183.73,12246.14,12081.44,12199.51,
19-January-2018,12204.79,12284.05,12118.03,12243.69,
22-January-2018,12205.94,12512.52,12140.57,12489.81,
23-January-2018,12499.87,12692.88,12499.87,12640.24,
24-January-2018,12647.61,13126.39,12614.17,12833.94,
25-January-2018,12832.86,12866.04,12607.29,12688.49,
29-January-2018,12664.22,12944.39,12664.20,12835.21,
30-January-2018,12739.66,12831.66,12666.82,12697.25,
31-January-2018,12625.89,12686.38,12509.17,12556.98,
1-February-2018,12569.99,12670.64,12379.84,12545.56,
2-February-2018,12490.69,12688.60,12438.27,12494.67,
5-February-2018,12411.24,12604.51,12393.76,12457.90,
6-February-2018,12176.57,12288.17,12040.70,12108.97,
7-February-2018,12213.74,12254.02,12009.55,12042.68,
8-February-2018,12127.42,12372.53,12085.65,12211.40,
