Date,Open,High,Low,Close
26-October-2017,,,,477.99,
27-October-2017,,,,478.85,
30-October-2017,,,,482.24,
31-October-2017,,,,481.32,
1-November-2017,,,,482.62,
2-November-2017,,,,484.02,
3-November-2017,,,,483.42,
6-November-2017,,,,481.49,
7-November-2017,,,,478.40,
8-November-2017,,,,475.68,
9-November-2017,,,,474.76,
10-November-2017,,,,472.03,
13-November-2017,,,,468.27,
14-November-2017,,,,465.36,
15-November-2017,,,,461.14,
16-November-2017,,,,464.08,
17-November-2017,,,,466.10,
20-November-2017,,,,467.37,
21-November-2017,,,,469.87,
22-November-2017,,,,469.76,
23-November-2017,,,,471.22,
24-November-2017,,,,472.80,
27-November-2017,,,,472.93,
28-November-2017,,,,472.07,
29-November-2017,,,,471.45,
30-November-2017,,,,468.15,
1-December-2017,,,,463.23,
4-December-2017,,,,465.41,
5-December-2017,,,,462.59,
6-December-2017,,,,458.77,
7-December-2017,,,,465.48,
8-December-2017,,,,470.95,
11-December-2017,,,,472.20,
12-December-2017,,,,467.44,
13-December-2017,,,,466.20,
14-December-2017,,,,468.20,
15-December-2017,,,,471.23,
18-December-2017,,,,472.81,
19-December-2017,,,,477.59,
20-December-2017,,,,478.00,
21-December-2017,,,,480.20,
22-December-2017,,,,482.70,
26-December-2017,,,,486.20,
27-December-2017,,,,484.46,
28-December-2017,484.79,487.12,483.86,484.49,
29-December-2017,486.19,487.48,485.48,486.69,
1-January-2018,487.40,489.79,485.05,485.89,
2-January-2018,487.99,489.36,482.80,486.19,
3-January-2018,487.26,490.21,486.95,487.64,
4-January-2018,490.94,494.19,488.81,493.50,
5-January-2018,495.05,496.20,493.25,494.94,
8-January-2018,495.81,498.62,495.81,498.18,
9-January-2018,497.62,498.47,494.74,496.21,
10-January-2018,497.23,498.62,495.02,496.51,
11-January-2018,498.01,498.08,495.68,496.80,
12-January-2018,498.41,498.96,492.98,496.11,
15-January-2018,497.46,498.92,493.95,494.24,
16-January-2018,495.36,496.27,488.09,489.31,
17-January-2018,489.88,493.57,484.97,492.85,
18-January-2018,493.92,495.08,485.35,487.42,
19-January-2018,488.13,490.86,486.47,490.20,
22-January-2018,491.49,492.11,488.91,491.73,
23-January-2018,493.76,497.93,493.53,497.54,
24-January-2018,498.19,499.97,496.78,498.88,
25-January-2018,499.28,500.06,493.68,495.04,
29-January-2018,495.66,496.76,492.56,493.54,
30-January-2018,493.16,494.16,491.35,493.37,
31-January-2018,493.17,494.46,488.40,490.87,
1-February-2018,491.45,495.53,484.16,489.57,
2-February-2018,487.30,487.39,474.82,475.52,
5-February-2018,471.58,476.63,466.47,474.58,
6-February-2018,464.38,469.61,457.97,466.91,
7-February-2018,471.77,473.40,469.11,470.80,
8-February-2018,472.81,476.51,471.36,474.70,
9-February-2018,469.54,473.88,467.27,471.95,
12-February-2018,475.98,477.72,474.88,476.73,
14-February-2018,479.42,479.49,472.04,473.26,
15-February-2018,473.58,475.10,471.31,472.68,
