Date,Open,High,Low,Close
26-October-2017,,,,163.66,
27-October-2017,,,,163.32,
30-October-2017,,,,164.18,
31-October-2017,,,,163.69,
1-November-2017,,,,165.64,
2-November-2017,,,,165.64,
3-November-2017,,,,166.04,
6-November-2017,,,,166.46,
7-November-2017,,,,164.67,
8-November-2017,164.96,165.30,163.12,163.52,
9-November-2017,164.31,164.73,163.05,164.06,
10-November-2017,163.86,164.23,162.87,163.81,
13-November-2017,164.42,164.63,162.29,162.45,
14-November-2017,162.24,162.88,161.88,162.10,
15-November-2017,162.09,162.09,160.41,160.84,
16-November-2017,160.93,162.93,160.93,162.69,
17-November-2017,164.21,165.03,163.64,163.94,
20-November-2017,164.03,164.18,163.34,163.89,
21-November-2017,164.42,165.15,164.22,164.54,
22-November-2017,164.74,165.11,163.96,164.50,
23-November-2017,164.54,165.21,163.96,164.83,
24-November-2017,165.25,165.74,165.09,165.48,
27-November-2017,165.16,165.72,164.64,165.58,
28-November-2017,165.51,165.86,164.82,165.08,
29-November-2017,165.33,165.50,164.34,164.67,
30-November-2017,164.37,164.55,162.19,162.40,
1-December-2017,162.89,163.30,160.10,160.40,
4-December-2017,161.12,161.35,160.02,160.70,
5-December-2017,160.57,161.32,159.83,160.91,
6-December-2017,160.74,160.79,159.50,159.73,
7-December-2017,159.90,161.89,159.82,161.66,
8-December-2017,162.08,163.06,162.08,162.73,
11-December-2017,163.23,164.08,163.01,163.65,
12-December-2017,163.53,163.78,162.38,162.52,
13-December-2017,162.67,163.29,161.11,161.50,
14-December-2017,161.83,162.51,160.54,162.16,
15-December-2017,163.16,163.85,163.16,163.47,
18-December-2017,163.04,165.47,159.32,164.42,
19-December-2017,165.01,165.80,164.86,165.66,
20-December-2017,165.85,166.14,165.30,165.57,
21-December-2017,165.76,165.91,165.11,165.34,
22-December-2017,165.41,166.26,165.41,166.02,
26-December-2017,166.25,167.01,166.00,166.75,
27-December-2017,166.90,167.45,165.96,166.36,
28-December-2017,166.40,166.96,165.71,166.06,
29-December-2017,166.23,167.13,166.23,167.03,
1-January-2018,167.11,167.24,165.61,165.88,
2-January-2018,166.27,166.60,164.84,165.64,
3-January-2018,166.28,167.01,165.88,166.04,
4-January-2018,166.58,167.18,165.87,167.06,
5-January-2018,167.42,168.26,167.37,168.11,
8-January-2018,168.48,169.43,168.48,169.28,
9-January-2018,169.55,169.98,168.77,169.28,
10-January-2018,169.68,169.90,168.53,169.22,
11-January-2018,169.34,169.85,168.95,169.53,
12-January-2018,169.92,170.28,168.67,170.13,
15-January-2018,170.70,171.92,170.70,171.21,
16-January-2018,171.41,171.53,170.08,170.25,
17-January-2018,170.22,172.11,169.60,171.93,
18-January-2018,173.02,173.46,170.64,171.27,
19-January-2018,171.49,172.83,170.94,172.61,
22-January-2018,172.99,173.98,172.16,173.84,
23-January-2018,174.22,176.16,174.21,175.94,
24-January-2018,175.95,176.20,175.07,175.57,
25-January-2018,175.85,176.01,174.05,174.73,
29-January-2018,174.93,176.45,174.87,175.48,
30-January-2018,175.34,175.47,173.83,174.05,
31-January-2018,173.83,174.19,172.87,173.80,
1-February-2018,174.03,174.77,171.11,173.35,
