Date,Open,High,Low,Close
26-October-2017,236.54,237.74,235.79,237.20,
27-October-2017,238.02,240.63,237.98,239.95,
30-October-2017,241.37,243.38,241.30,242.58,
31-October-2017,243.00,243.81,241.56,242.65,
1-November-2017,243.59,244.62,242.38,242.60,
2-November-2017,243.20,243.46,241.57,242.00,
3-November-2017,243.16,243.96,241.66,242.44,
6-November-2017,242.97,244.30,242.04,242.51,
7-November-2017,243.86,245.18,239.02,239.46,
8-November-2017,240.10,241.02,237.85,238.55,
9-November-2017,239.92,240.66,236.65,238.71,
10-November-2017,239.29,241.27,237.57,239.87,
13-November-2017,240.06,240.10,237.23,238.06,
14-November-2017,237.75,238.02,235.52,235.81,
15-November-2017,236.11,236.34,231.49,232.62,
16-November-2017,233.36,235.52,232.74,234.97,
17-November-2017,237.65,238.15,235.53,235.88,
20-November-2017,236.73,238.72,236.67,238.41,
21-November-2017,239.43,240.64,238.91,239.69,
22-November-2017,241.21,241.55,239.50,241.34,
23-November-2017,241.26,242.59,239.40,240.93,
24-November-2017,241.39,242.01,240.80,241.79,
27-November-2017,241.92,244.19,241.31,243.99,
28-November-2017,244.61,244.71,242.20,243.18,
29-November-2017,243.86,244.87,243.00,243.44,
30-November-2017,243.22,243.36,241.23,241.88,
1-December-2017,242.61,243.44,237.31,237.93,
4-December-2017,238.39,239.33,236.07,237.90,
5-December-2017,237.68,237.69,235.00,236.57,
6-December-2017,236.52,237.07,233.54,233.85,
7-December-2017,233.75,238.65,233.75,238.14,
8-December-2017,238.94,240.65,238.93,240.24,
11-December-2017,241.01,241.59,239.07,239.79,
12-December-2017,239.94,240.82,238.89,239.16,
13-December-2017,239.36,239.92,236.45,237.24,
14-December-2017,238.40,238.94,234.27,236.98,
15-December-2017,239.50,240.77,238.23,238.59,
18-December-2017,238.13,240.81,231.97,239.40,
19-December-2017,240.62,242.08,240.20,241.96,
20-December-2017,242.88,244.50,242.02,243.64,
21-December-2017,244.23,247.25,243.82,246.92,
22-December-2017,247.21,249.64,247.20,249.11,
26-December-2017,250.70,251.40,249.68,250.46,
27-December-2017,251.11,251.99,249.24,250.37,
28-December-2017,250.80,252.09,249.82,250.37,
29-December-2017,251.26,253.09,251.19,252.45,
1-January-2018,253.42,254.54,251.66,252.12,
2-January-2018,253.75,254.24,249.84,251.55,
3-January-2018,252.31,253.38,251.48,252.27,
4-January-2018,253.88,255.10,253.02,254.86,
5-January-2018,255.61,256.86,255.18,255.76,
8-January-2018,257.36,258.12,256.27,256.76,
9-January-2018,256.28,257.39,255.22,255.95,
10-January-2018,257.25,257.93,255.19,255.94,
11-January-2018,256.72,256.79,255.19,255.45,
12-January-2018,256.29,257.73,253.06,255.80,
15-January-2018,256.89,257.29,253.88,254.15,
16-January-2018,255.09,255.52,249.49,250.23,
17-January-2018,250.45,253.07,246.90,252.62,
18-January-2018,253.03,254.02,245.78,246.96,
19-January-2018,247.10,250.20,246.93,249.89,
22-January-2018,251.56,253.18,250.17,251.28,
23-January-2018,251.90,254.06,251.90,253.49,
24-January-2018,253.62,254.82,252.27,254.42,
25-January-2018,254.87,256.48,252.70,253.49,
29-January-2018,253.95,254.36,250.63,251.07,
30-January-2018,251.03,251.09,249.36,249.66,
31-January-2018,249.22,250.15,247.09,248.26,
1-February-2018,249.32,251.32,244.76,248.45,
2-February-2018,247.50,247.50,237.79,238.44,
5-February-2018,236.09,239.02,232.65,238.12,
6-February-2018,231.99,236.77,227.53,235.11,
7-February-2018,237.40,239.28,236.00,237.81,
8-February-2018,239.56,240.11,237.90,238.88,
9-February-2018,236.38,238.23,234.45,237.44,
12-February-2018,239.28,241.42,239.28,240.93,
14-February-2018,241.60,243.18,240.37,241.21,
15-February-2018,242.46,242.71,238.60,239.40,
16-February-2018,239.54,241.01,236.47,237.44,
19-February-2018,238.56,238.72,233.10,234.77,
20-February-2018,234.50,235.72,233.70,234.14,
21-February-2018,233.83,235.23,232.65,234.39,
22-February-2018,234.02,234.06,232.35,233.00,
23-February-2018,233.51,237.35,233.33,236.92,
26-February-2018,238.27,240.99,238.18,240.61,
27-February-2018,241.23,242.18,239.72,240.13,
28-February-2018,239.29,239.84,237.66,239.09,
1-March-2018,239.52,240.89,238.21,238.45,
5-March-2018,238.12,238.34,235.49,236.34,
6-March-2018,237.26,238.25,233.03,234.12,
7-March-2018,233.75,233.75,229.11,229.43,
8-March-2018,229.69,230.94,226.88,230.08,
9-March-2018,230.51,231.55,228.12,228.58,
12-March-2018,230.26,232.80,228.63,231.98,
13-March-2018,232.25,234.02,231.61,232.84,
14-March-2018,232.91,233.20,231.47,232.79,
15-March-2018,233.28,233.80,232.32,233.39,
16-March-2018,234.00,234.00,229.30,230.03,
19-March-2018,231.36,231.55,227.31,228.05,
20-March-2018,227.83,229.24,226.67,228.08,
21-March-2018,228.89,230.91,228.40,228.80,
22-March-2018,229.39,230.47,226.98,227.23,
23-March-2018,224.99,225.97,222.94,225.31,
26-March-2018,226.01,227.51,223.18,227.11,
27-March-2018,228.31,229.25,226.86,228.67,
28-March-2018,228.19,228.25,225.86,226.41,
2-April-2018,226.56,231.15,226.56,230.58,
3-April-2018,230.84,233.62,229.96,233.27,
4-April-2018,233.88,234.36,229.50,229.72,
5-April-2018,232.07,234.28,232.07,233.89,
6-April-2018,234.40,234.97,233.15,234.56,
9-April-2018,235.08,236.09,234.33,235.43,
10-April-2018,236.15,237.46,235.85,236.63,
11-April-2018,237.75,237.91,235.52,236.44,
12-April-2018,236.63,236.90,234.95,235.51,
13-April-2018,235.72,237.24,235.20,236.00,
16-April-2018,235.58,237.52,234.49,237.22,
17-April-2018,238.15,238.87,237.53,238.56,
18-April-2018,239.08,239.51,237.95,238.64,
19-April-2018,239.25,241.24,239.20,240.97,
20-April-2018,241.60,241.60,238.32,239.10,
23-April-2018,239.78,240.01,238.05,238.29,
24-April-2018,238.84,239.88,238.76,239.51,
25-April-2018,239.36,239.99,237.05,237.60,
26-April-2018,237.83,238.58,235.95,237.28,
27-April-2018,237.52,238.84,237.33,237.85,
30-April-2018,238.15,240.39,237.65,240.01,
2-May-2018,240.67,241.07,236.31,236.81,
3-May-2018,236.19,236.68,233.51,234.28,
4-May-2018,233.77,236.08,233.23,234.24,
7-May-2018,234.77,237.20,234.30,236.88,
8-May-2018,237.86,238.10,235.16,236.44,
9-May-2018,236.37,237.27,235.36,235.57,
